Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Ali-express shipping","shipping",1,9.80,"","Ali express"
"Oled","screen",1,2.48,"https://www.aliexpress.com/item/1005006636072295.html?mp=1&pdp_npi=6@dis!USD!USD%203.47!USD%200.99!!USD%200.99!!!@2102f22c17753786454871604ea4a4!12000037978554141!ct!AU!7402515296!!1!0!","ali=express"
"resistor","for ressisting",1,1.64,"https://a.aliexpress.com/_mO68XHB","Ali express"
"Rp2040","motherboard",1,4.77,"https://www.aliexpress.com/item/1005008652799938.html?mp=1&pdp_npi=6@dis!USD!USD%2014.40!USD%204.03!!USD%204.03!!!@2101e80317744971913346346e1152!12000046106276655!ct!AU!7402515296!!1!0!","Ali-express"
"Ec11 rotary encoder","so i can change brightness of oled to prevent burn in",1,4.09,"https://a.aliexpress.com/_mr7ZdX7","Ali express"
"LM75AD,118","Temperature sensor",1,4.63,"https://a.aliexpress.com/_mrrRHrL","Ali express"
"PCB creating and shipping","For pcb",1,5.50,"","JLCPCB"
